milliseconds,paper,gear,position
1,1,1,25
11,1,1,223
21,1,1,326
31,1,1,366
41,1,1,383
51,1,1,386
61,1,1,392
71,1,1,393
81,1,1,324
91,1,1,200
101,1,1,-3
111,1,1,-232
121,1,1,-471
131,1,1,-687
141,1,1,-927
151,1,1,-1155
161,1,1,-1304
171,1,1,-1360
181,1,1,-1388
191,1,1,-1398
201,1,1,-1401
211,1,1,-1406
221,1,1,-1406
231,1,1,-1406
241,1,1,-1406
251,1,1,-1406
261,1,1,-1406
271,1,1,-1406
281,1,1,-1406
291,1,1,-1406
301,1,1,-1406
311,1,1,-1406
321,1,1,-1406
331,1,1,-1406
342,1,1,-1406
351,1,1,-1406
361,1,1,-1406
371,1,1,-1406
381,1,1,-1406
391,1,1,-1406
401,1,1,-1406
411,1,1,-1406
421,1,1,-1406
431,1,1,-1406
441,1,1,-1406
451,1,1,-1406
461,1,1,-1406
471,1,1,-1406
481,1,1,-1406
491,1,1,-1406
501,1,1,-1406
512,1,1,-1406
521,1,1,-1406
531,1,1,-1406
541,1,1,-1406
551,1,1,-1406
561,1,1,-1406
571,1,1,-1406
581,1,1,-1406
591,1,1,-1406
601,1,1,-1406
611,1,1,-1350
621,1,1,-1204
631,1,1,-998
641,1,1,-792
651,1,1,-555
661,1,1,-315
671,1,1,-73
681,1,1,153
691,1,1,285
701,1,1,349
711,1,1,378
721,1,1,385
731,1,1,386
741,1,1,394
751,1,1,393
761,1,1,393
771,1,1,393
781,1,1,393
791,1,1,393
801,1,1,393
811,1,1,393
821,1,1,393
831,1,1,393
841,1,1,393
851,1,1,393
861,1,1,393
871,1,1,393
881,1,1,393
891,1,1,393
901,1,1,393
911,1,1,393
921,1,1,393
931,1,1,393
941,1,1,393
951,1,1,393
961,1,1,393
971,1,1,393
982,1,1,393
991,1,1,393
1001,1,1,393
1011,1,1,393
1021,1,1,393
1031,1,1,393
1041,1,1,393
1051,1,1,393
1061,1,1,393
1071,1,1,393
1081,1,1,393
1091,1,1,329
1101,1,1,188
1111,1,1,4
1121,1,1,-225
1131,1,1,-463
1141,1,1,-703
1152,1,1,-943
1161,1,1,-1148
1171,1,1,-1301
1181,1,1,-1363
1191,1,1,-1389
1201,1,1,-1398
1211,1,1,-1400
1221,1,1,-1406
1231,1,1,-1406
1241,1,1,-1406
1251,1,1,-1406
1261,1,1,-1406
1271,1,1,-1406
1281,1,1,-1406
1291,1,1,-1406
1301,1,1,-1406
1311,1,1,-1406
1321,1,1,-1406
1331,1,1,-1406
1341,1,1,-1406
1351,1,1,-1406
1361,1,1,-1406
1371,1,1,-1406
1381,1,1,-1406
1391,1,1,-1406
1401,1,1,-1406
1411,1,1,-1406
1421,1,1,-1406
1431,1,1,-1406
1441,1,1,-1406
1451,1,1,-1406
1461,1,1,-1406
1471,1,1,-1406
1481,1,1,-1406
1491,1,1,-1406
1501,1,1,-1406
1511,1,1,-1406
1521,1,1,-1406
1531,1,1,-1406
1541,1,1,-1406
1551,1,1,-1406
1561,1,1,-1406
1571,1,1,-1406
1581,1,1,-1406
1591,1,1,-1406
1601,1,1,-1406
1611,1,1,-1406
1622,1,1,-1346
1631,1,1,-1215
1641,1,1,-1010
1651,1,1,-782
1661,1,1,-544
1671,1,1,-328
1681,1,1,-86
1691,1,1,155
1701,1,1,396
1711,1,1,613
1721,1,1,856
1731,1,1,1097
1741,1,1,1338
1751,1,1,1556
1761,1,1,1798
1771,1,1,2039
1781,1,1,2280
1792,1,1,2521
1801,1,1,2739
1811,1,1,2981
1821,1,1,3222
1831,1,1,3464
1841,1,1,3682
1851,1,1,3924
1861,1,1,4166
1871,1,1,4407
1881,1,1,4625
1891,1,1,4866
1901,1,1,5107
1911,1,1,5348
1921,1,1,5566
1931,1,1,5808
1941,1,1,6048
1951,1,1,6290
1961,1,1,6532
1971,1,1,6750
1981,1,1,6991
1991,1,1,7232
2001,1,1,7474
2011,1,1,7692
2021,1,1,7933
2031,1,1,8175
2041,1,1,8418
2051,1,1,8634
2061,1,1,8876
2071,1,1,9117
2081,1,1,9359
2091,1,1,9576
2101,1,1,9818
2111,1,1,10059
2121,1,1,10301
2131,1,1,10543
2141,1,1,10760
2151,1,1,11002
2161,1,1,11244
2171,1,1,11486
2181,1,1,11702
2191,1,1,11944
2201,1,1,12185
2211,1,1,12428
2221,1,1,12644
2231,1,1,12885
2241,1,1,13127
2251,1,1,13369
2262,1,1,13611
2271,1,1,13828
2281,1,1,14069
2291,1,1,14312
