milliseconds,paper,gear,position
1,1,1,0
11,1,1,0
21,1,1,0
31,1,1,0
41,1,1,0
51,1,1,0
61,1,1,0
71,1,1,0
81,1,1,0
91,1,1,0
101,1,1,0
111,1,1,0
121,1,1,0
131,1,1,0
141,1,1,0
151,1,1,0
161,1,1,0
171,1,1,0
181,1,1,0
191,1,1,0
201,1,1,0
211,1,1,0
221,1,1,0
231,1,1,0
241,1,1,0
251,1,1,0
261,1,1,0
271,1,1,0
281,1,1,0
291,1,1,0
301,1,1,0
311,1,1,0
321,1,1,0
331,1,1,0
342,1,1,0
351,1,1,0
361,1,1,0
371,1,1,0
381,1,1,0
391,1,1,0
401,1,1,0
411,1,1,0
421,1,1,0
431,1,1,0
441,1,1,0
451,1,1,0
461,1,1,0
471,1,1,0
481,1,1,0
491,1,1,0
501,1,1,0
512,1,1,0
521,1,1,0
531,1,1,0
541,1,1,0
551,1,1,0
561,1,1,0
571,1,1,0
581,1,1,0
591,1,1,0
601,1,1,0
611,1,1,0
621,1,1,0
631,1,1,0
641,1,1,0
651,1,1,0
661,1,1,0
671,1,1,0
681,1,1,0
691,1,1,0
701,1,1,0
711,1,1,0
721,1,1,0
731,1,1,0
741,1,1,0
751,1,1,0
761,1,1,0
771,1,1,0
781,1,1,0
791,1,1,0
801,1,1,0
811,1,1,0
821,1,1,0
831,1,1,0
841,1,1,0
851,1,1,0
861,1,1,0
871,1,1,0
881,1,1,0
891,1,1,0
901,1,1,0
911,1,1,0
921,1,1,0
931,1,1,0
941,1,1,0
951,1,1,0
961,1,1,0
971,1,1,0
982,1,1,0
991,1,1,0
1001,1,1,0
1011,1,1,0
1021,1,1,0
1031,1,1,0
1041,1,1,0
1051,1,1,0
1061,1,1,0
1071,1,1,0
1081,1,1,0
1091,1,1,0
1101,1,1,0
1111,1,1,0
1121,1,1,0
1131,1,1,0
1141,1,1,0
1152,1,1,0
1161,1,1,0
1171,1,1,0
1181,1,1,0
1191,1,1,0
1201,1,1,0
1211,1,1,0
1221,1,1,0
1231,1,1,0
1241,1,1,0
1251,1,1,0
1261,1,1,0
1271,1,1,0
1281,1,1,0
1291,1,1,0
1301,1,1,0
1311,1,1,0
1321,1,1,0
1331,1,1,0
1341,1,1,0
1351,1,1,0
1361,1,1,0
1371,1,1,0
1381,1,1,0
1391,1,1,0
1401,1,1,0
1411,1,1,0
1421,1,1,0
1431,1,1,0
1441,1,1,0
1451,1,1,0
1461,1,1,0
1471,1,1,0
1481,1,1,0
1491,1,1,0
1501,1,1,0
1511,1,1,0
1521,1,1,0
1531,1,1,0
1541,1,1,0
1551,1,1,0
1561,1,1,0
1571,1,1,0
1581,1,1,0
1591,1,1,0
1601,1,1,0
1611,1,1,0
1622,1,1,0
1631,1,1,0
1641,1,1,0
1651,1,1,0
1661,1,1,0
1671,1,1,0
1681,1,1,0
1691,1,1,0
1701,1,1,0
1711,1,1,0
1721,1,1,0
1731,1,1,0
1741,1,1,0
1751,1,1,0
1761,1,1,0
1771,1,1,0
1781,1,1,0
1792,1,1,0
1801,1,1,0
1811,1,1,0
1821,1,1,0
1831,1,1,0
1841,1,1,0
1851,1,1,0
1861,1,1,0
1871,1,1,0
1881,1,1,0
1891,1,1,0
1901,1,1,0
1911,1,1,0
1921,1,1,0
1931,1,1,0
1941,1,1,0
1951,1,1,0
1961,1,1,0
1971,1,1,0
1981,1,1,0
1991,1,1,0
2001,1,1,0
2011,1,1,0
2021,1,1,0
2031,1,1,0
2041,1,1,0
2051,1,1,0
2061,1,1,0
2071,1,1,0
2081,1,1,0
2091,1,1,0
2101,1,1,0
2111,1,1,0
2121,1,1,0
2131,1,1,0
2141,1,1,0
2151,1,1,0
2161,1,1,0
2171,1,1,0
2181,1,1,0
2191,1,1,0
2201,1,1,0
2211,1,1,0
2221,1,1,0
2231,1,1,0
2241,1,1,0
2251,1,1,0
2262,1,1,0
2271,1,1,0
2281,1,1,0
2291,1,1,0
2301,1,1,0
2311,1,1,0
2321,1,1,0
2331,1,1,0
2341,1,1,0
2351,1,1,0
2361,1,1,0
2371,1,1,0
2381,1,1,0
2391,1,1,0
2401,1,1,0
2411,1,1,0
2421,1,1,0
2432,1,1,0
2441,1,1,0
2451,1,1,0
2461,1,1,0
2471,1,1,0
2481,1,1,0
2491,1,1,0
2501,1,1,0
2511,1,1,0
2521,1,1,0
2531,1,1,0
2541,1,1,0
2551,1,1,0
2561,1,1,0
2571,1,1,0
2581,1,1,0
2591,1,1,0
2601,1,1,0
2611,1,1,0
2621,1,1,0
2631,1,1,0
2641,1,1,0
2651,1,1,0
2661,1,1,0
2671,1,1,0
2681,1,1,0
2691,1,1,0
2701,1,1,0
2711,1,1,0
2721,1,1,0
2731,1,1,0
2741,1,1,0
