timestamp,count,min_us_enc
16,1799,28
8675588,2701,36
9149720,-1800,-28
9297548,-1799,-28
12142320,28018,36
16552516,2700,36
16810844,-2699,-38
17073884,-15000,-68
18892728,1799,28
21040792,-1799,-28
21189832,1800,28
21332404,-1799,-28
21962872,-49720,-24
31255660,-1311,-160
32367488,1799,28
32523796,-1798,-28
32671000,1799,28
33205624,-1799,-28
34475084,gear,0
34665684,paper,0
33681376,-22421,-19
34842540,2999,20
35303700,gear,1
35024088,-12295,-20
35427784,6197,36
36054984,-1200,-38
36213800,-962,-38
36697616,-961,-38
37169832,-961,-38
37638428,-962,-38
38109648,-962,-38
38583704,-961,-38
39052408,-961,-38
39521816,-962,-38
39991268,-963,-38
40461480,-962,-38
40929592,-962,-38
41574632,-962,-38
42045608,-961,-38
42514196,-962,-38
42984672,-961,-38
43454572,-962,-38
43924592,-962,-38
44397276,-961,-38
44866872,-961,-38
45335000,-962,-38
45806612,-962,-38
46451636,-961,-38
46919144,-961,-38
47386416,-961,-38
47854336,-963,-38
48302276,-961,-38
48746520,-962,-38
49192004,-961,-38
49634000,-962,-38
50080972,-961,-38
50525352,-962,-38
51195848,-961,-38
51640804,-961,-38
52088288,-962,-38
52531268,-961,-38
52974760,-962,-38
53419000,-961,-38
53861496,-962,-38
54307552,-962,-38
54751680,-961,-38
55185940,-961,-38
55865108,-962,-38
56300044,-961,-38
56734968,-962,-38
57170752,-961,-38
57603104,-962,-38
58039784,-962,-38
58473960,-961,-38
58908304,-962,-38
59343648,-961,-38
59778092,-962,-38
60214780,-961,-38
60628124,-962,-38
61327460,-962,-38
61772340,-961,-38
62215492,-961,-38
62659132,-962,-38
63105488,-962,-38
63550388,-961,-38
64007500,-962,-38
64467384,-961,-38
64925756,-961,-38
65381432,-962,-38
66039304,-962,-38
66467856,-962,-38
66931608,-961,-38
67387376,-961,-38
67845316,-962,-38
68301652,-961,-38
68733212,-962,-38
69156500,-962,-38
69782872,paper,1
69506484,-961,-38
69853724,-962,-38
70104176,-961,-38
70459456,-963,-38
71056808,-961,-38
71376644,-963,-38
71692320,-962,-38
71979848,-963,-38
72393300,-963,-38
72806844,-963,-38
73222632,-962,-38
73635960,-963,-38
73883976,-3474,-20
74204880,-12905,-14
74525116,-3282,-38
75125804,2700,36
75473928,-1603,-29
75623420,28021,36
89838952,2700,36
90099056,-2701,-38
90357568,-14999,-68
92176716,1801,28
92345612,-1801,-28
92489808,1801,28
92635684,-1801,-28
93265008,226080,28
108800084,1801,28
