timestamp,count,min_us_enc
16,-49720,-24
4679592,-1311,-144
5790904,1800,28
5946004,-1800,-28
6091196,1800,28
6625880,-1799,-28
7907568,gear,0
8095928,paper,0
7101876,-23023,-20
8273708,2998,20
8751456,gear,1
8462948,-12408,-20
8874644,6312,36
9510620,-1200,-38
9669008,-962,-38
10152644,-961,-38
10623140,-962,-38
11096632,-961,-38
11565960,-961,-38
12036448,-962,-38
12508212,-961,-38
12976744,-962,-38
13449332,-963,-38
13919716,-963,-38
14388284,-961,-38
15031088,-961,-38
15499276,-962,-38
15969328,-962,-38
16441024,-962,-38
16911264,-961,-38
17353268,-962,-38
17801728,-961,-38
18244652,-961,-38
18691868,-962,-38
19137452,-961,-38
19806968,-961,-38
20275840,-962,-38
20747012,-962,-38
21216872,-962,-38
21663016,-961,-38
22104564,-961,-38
22548468,-963,-38
22993740,-961,-38
23436888,-961,-38
23882116,-962,-38
24553444,-961,-38
24997928,-962,-38
25444628,-962,-38
25888896,-961,-38
26333608,-962,-38
26776176,-961,-38
27219280,-961,-38
27661980,-961,-38
28105180,-963,-38
28540900,-961,-38
28975504,-961,-38
29408952,-962,-38
30091200,-962,-38
30525676,-960,-38
30959012,-963,-38
31395444,-961,-38
31828772,-961,-38
32261660,-962,-38
32697540,-961,-38
33130604,-962,-38
33567228,-961,-38
33981556,-962,-38
34682140,-961,-38
35124708,-961,-38
35568616,-962,-38
36013960,-962,-38
36457804,-962,-38
36903884,-961,-38
37361236,-961,-38
37817452,-962,-38
38276820,-961,-38
38733348,-962,-38
39392296,-960,-38
39818296,-963,-38
40282672,-961,-38
40739240,-962,-38
41197256,-962,-38
41628364,-961,-38
42014644,-961,-38
42389656,-963,-38
42828792,paper,1
42648044,-961,-38
42900772,-962,-38
43150900,-961,-38
43509248,-963,-38
43822724,-961,-38
44271804,-963,-38
44740520,-963,-38
45031352,-962,-38
45444900,-962,-38
45857460,-963,-38
46275196,-963,-38
46688096,-962,-38
46932544,-3462,-20
47249176,-12906,-14
47569772,-3282,-38
48170004,2700,36
48526692,-1603,-28
