timestamp,position,count,us_per_position
16,0,124483,0
1988596,1,72570,0
3148172,0,1734,28544
3176716,1,258089,0
7299420,2,1,454
7300328,4,1,215
7301188,8,1,172
7302052,13,1,125
7302928,20,1,156
7303868,26,1,116
7304796,34,1,134
7305736,41,1,118
7306680,49,1,105
7307628,58,1,96
7308596,68,1,77
7309528,80,1,72
7310464,93,1,72
7311412,106,1,66
7312348,120,1,63
7313364,136,1,58
7314408,154,1,57
7315436,172,1,54
7316472,191,1,52
7317516,211,1,52
7318564,231,1,50
7319624,252,1,49
7320668,273,1,48
7321736,295,1,47
7322780,317,1,48
7323848,339,1,48
7324904,361,1,44
7325976,385,1,46
7327044,408,1,44
7328120,432,1,44
7329196,456,1,46
7330260,479,1,43
7331344,504,1,44
7332420,528,1,44
7333496,552,1,43
7334572,577,1,45
7335656,601,1,43
7336740,626,1,43
7337816,651,1,43
7338912,676,1,44
7339988,700,1,43
7341080,725,1,42
7342176,751,1,43
7343260,776,1,41
7344344,802,1,43
7345440,827,1,43
7346524,852,1,40
7347620,879,1,43
7348712,904,1,43
7349788,929,1,43
7350876,954,1,40
7351980,981,1,42
7353076,1007,1,41
7354160,1033,1,42
7355316,1060,1,42
7356472,1087,1,42
7357620,1114,1,42
7358756,1141,1,42
7359916,1168,1,43
7361052,1194,1,42
7362200,1221,1,42
7363348,1248,1,42
7364496,1275,1,42
7365648,1302,1,41
7366776,1329,1,43
7367940,1356,1,43
7369076,1382,1,42
7370224,1409,1,43
7371352,1435,1,43
7372480,1461,1,47
7373620,1485,1,48
7374728,1508,1,48
7375836,1531,1,50
7376936,1553,1,54
7378020,1573,1,54
7379100,1593,1,59
7380168,1611,1,62
7381232,1628,1,69
7382268,1643,1,75
7383320,1657,1,78
7384344,1670,1,85
7385364,1682,1,100
7386368,1692,1,96
7387424,1703,1,108
7388400,1712,1,131
7389452,1720,1,146
7390480,1727,1,170
7391500,1733,1,148
7392536,1740,1,202
7393548,1745,1,250
7394548,1749,1,252
7395556,1753,1,253
7396568,1757,1,333
7397568,1760,1,252
7398576,1764,1,333
7399576,1767,1,496
7400568,1769,1,333
7401568,1772,1,494
7402556,1774,1,333
7403556,1777,1,492
7404540,1779,1,333
7405540,1782,1,494
7406528,1784,1,984
7407512,1785,1,494
7408500,1787,1,984
7409484,1788,3,1028
7410512,1789,12,1232
7411744,1790,2,1076
7412820,1791,10,1184
7414004,1792,43,1740
7415744,1793,58,1988
7417732,1794,99,2644
7420376,1795,111,2824
7423200,1796,78,2372
7425572,1797,41,1716
7427288,1798,13,1268
7428556,1799,3,1092
7429648,1800,13,1228
7430876,1801,3142,-51240
7482116,1800,1,1208
7483324,1801,214,-4472
7487796,1800,23,1496
7489292,1801,4449,-72108
7561400,1800,78,2460
7563860,1801,188,-4076
7567936,1800,1,1112
7569048,1801,5613,90684
7659732,1802,1,398
7660928,1805,1,255
7661948,1809,1,250
7662948,1813,1,205
7663976,1818,1,332
7664972,1821,1,333
7665972,1824,1,496
7666964,1826,1,980
7667944,1827,1,496
7668936,1829,1,496
7669928,1831,1,255
7670948,1835,1,202
7671960,1840,1,202
7672972,1845,1,146
7674000,1852,1,129
7675032,1860,1,115
7676068,1869,1,115
7677108,1878,1,105
7678160,1888,1,96
7679216,1899,1,92
7680232,1910,1,85
7681256,1922,1,85
7682280,1934,1,79
7683312,1947,1,85
7684332,1959,1,79
7685364,1972,1,79
7686396,1985,1,74
7687436,1999,1,74
7688472,2013,1,75
7689524,2027,1,78
7690548,2040,1,70
7691612,2055,1,73
7692636,2069,1,73
7693668,2083,1,74
7694704,2097,1,69
7695744,2112,1,70
7696804,2127,1,73
7697832,2141,1,73
7698864,2155,1,70
7699924,2170,1,70
7700980,2185,1,69
7702016,2200,1,70
7703076,2215,1,70
7704128,2230,1,69
7705164,2245,1,70
7706224,2260,1,69
7707268,2275,1,70
7708320,2290,1,69
7709364,2305,1,69
7710404,2320,1,70
7711456,2335,1,70
7712508,2350,1,69
7713552,2365,1,70
7714604,2380,1,73
7715636,2394,1,69
7716680,2409,1,66
7717744,2425,1,70
7718796,2440,1,69
7719836,2455,1,74
7720880,2469,1,66
7721944,2485,1,69
7722984,2500,1,69
7724028,2515,1,69
7725076,2530,1,70
7726136,2545,1,69
7727172,2560,1,70
7728232,2575,1,68
7729264,2590,1,69
7730308,2605,1,70
7731368,2620,1,70
7732420,2635,1,69
7733464,2650,1,69
7734500,2665,1,66
7735560,2681,1,69
7736604,2696,1,69
7737648,2711,1,70
7738700,2726,1,68
7739732,2741,1,70
7740796,2756,1,69
7741832,2771,1,66
7742896,2787,1,69
7743932,2802,1,69
7744972,2817,1,66
7746036,2833,1,70
7747088,2848,1,69
7748132,2863,1,73
7749156,2877,1,66
7750220,2893,1,68
7751252,2908,1,70
7752316,2923,1,73
7753344,2937,1,69
7754388,2952,1,66
7755448,2968,1,69
7756492,2983,1,73
7757520,2997,1,69
7758564,3012,1,66
7759628,3028,1,73
7760652,3042,1,69
7761700,3057,1,66
7762760,3073,1,69
7763804,3088,1,70
7764856,3103,1,73
7765888,3117,1,69
7766932,3132,1,66
7767996,3148,1,70
7769048,3163,1,69
7770096,3178,1,69
7771144,3193,1,66
7772208,3209,1,70
7773260,3224,1,68
7774284,3239,1,74
7775328,3253,1,65
7776372,3269,1,71
7777444,3284,1,70
7778496,3299,1,69
7779532,3314,1,70
7780592,3329,1,70
7781644,3344,1,69
7782680,3359,1,66
7783744,3375,1,69
7784788,3390,1,68
7785820,3405,1,76
7786884,3419,1,68
7787916,3434,1,66
7788980,3450,1,68
7790012,3465,1,69
7791056,3480,1,69
7792100,3495,1,70
7793160,3510,1,70
7794212,3525,1,70
7795268,3540,1,69
7796304,3555,1,70
7797364,3570,1,70
7798416,3585,1,69
7799464,3600,1,66
7800524,3616,1,69
7801560,3631,1,70
7802612,3646,1,70
7803664,3661,1,69
7804708,3676,1,69
7805752,3691,1,69
7806796,3706,1,70
7807848,3721,1,69
7808892,3736,1,66
7809956,3752,1,69
7811000,3767,1,68
7812024,3782,1,70
7813084,3797,1,70
7814136,3812,1,71
7815204,3827,1,70
7816256,3842,1,65
7817308,3858,1,70
7818360,3873,1,69
7819396,3888,1,70
7820448,3903,1,69
7821492,3918,1,69
7822528,3933,1,69
7823572,3948,1,70
7824632,3963,1,70
7825688,3978,1,69
7826724,3993,1,69
7827768,4008,1,69
7828812,4023,1,66
7829872,4039,1,73
7830896,4053,1,69
7831940,4068,1,70
7832992,4083,1,70
7834048,4098,1,69
7835084,4113,1,69
7836128,4128,1,70
7837188,4143,1,66
7838244,4159,1,69
7839288,4174,1,70
7840340,4189,1,69
7841380,4204,1,69
7842420,4219,1,70
7843472,4234,1,70
7844524,4249,1,74
7845560,4263,1,74
7846600,4277,1,74
7847640,4291,1,79
7848672,4304,1,79
7849708,4317,1,85
7850728,4329,1,85
7851752,4341,1,85
7852776,4353,1,101
7853792,4363,1,104
7854840,4373,1,104
7855888,4383,1,105
7856944,4393,1,116
7857996,4402,1,127
7859016,4410,1,131
7860064,4418,1,146
7861092,4425,1,168
7862104,4431,1,202
7863116,4436,1,201
7864124,4441,1,204
7865144,4446,1,253
7866156,4450,1,252
7867164,4454,1,334
7868168,4457,1,333
7869168,4460,1,333
7870168,4463,1,494
7871156,4465,1,334
7872160,4468,1,496
7873152,4470,1,329
7874140,4473,1,490
7875120,4475,1,496
7876112,4477,1,496
7877104,4479,1,496
7878096,4481,1,492
7879080,4483,1,972
7880052,4484,1,980
7881032,4485,1,494
7882020,4487,1,980
7883000,4488,1,980
7883980,4489,1,984
7884964,4490,1,980
7885944,4491,1,984
7886928,4492,17,1268
7888196,4493,276,5464
7893660,4494,214,4536
7898196,4495,67,2184
7900380,4496,39,1680
7902060,4497,8,1192
7903252,4498,1,996
7904248,4499,1,984
7905232,4500,1,980
7906212,4501,748,-12948
7919160,4500,150,-3580
7922740,4499,1,-73
7923984,4482,1,-61
7925096,4464,1,-66
7926152,4448,1,-71
7927220,4433,1,-80
7928272,4420,1,-81
7929332,4407,1,-76
7930396,4393,1,-87
7931448,4381,1,-70
7932508,4366,1,-70
7933560,4351,1,-64
7934652,4334,1,-61
7935752,4316,1,-55
7936860,4296,1,-58
7937964,4277,1,-51
7939104,4255,1,-51
7940232,4233,1,-52
7941332,4212,1,-49
7942460,4189,1,-49
7943600,4166,1,-47
7944736,4142,1,-46
7945900,4117,1,-48
7947056,4093,1,-46
7948212,4068,1,-46
7949364,4043,1,-44
7950524,4017,1,-43
7951660,3991,1,-45
7952844,3965,1,-43
7953984,3939,1,-43
7955168,3912,1,-44
7956332,3886,1,-42
7957484,3859,1,-44
7958672,3832,1,-43
7959840,3805,1,-44
7960996,3779,1,-43
7962172,3752,1,-43
7963348,3725,1,-42
7964536,3697,1,-43
7965720,3670,1,-42
7966896,3642,1,-43
7968060,3615,1,-42
7969236,3587,1,-43
7970412,3560,1,-43
7971580,3533,1,-42
7972756,3505,1,-42
7973948,3477,1,-42
7975124,3449,1,-43
7976292,3422,1,-41
7977456,3394,1,-43
7978624,3367,1,-42
7979820,3339,1,-43
7980984,3312,1,-42
7982168,3284,1,-41
7983332,3256,1,-43
7984508,3229,1,-42
7985696,3201,1,-43
7986864,3174,1,-41
7988036,3146,1,-43
7989208,3119,1,-42
7990388,3091,1,-44
7991544,3065,1,-43
7992720,3038,1,-46
7993880,3013,1,-46
7995036,2988,1,-49
7996168,2965,1,-53
7997288,2944,1,-53
7998404,2923,1,-58
7999508,2904,1,-58
8000616,2885,1,-64
8001708,2868,1,-70
8002768,2853,1,-80
8003816,2840,1,-81
8004876,2827,1,-87
8005924,2815,1,-102
8006944,2805,1,-118
8008008,2796,1,-117
8009068,2787,1,-131
8010120,2779,1,-149
8011164,2772,1,-172
8012200,2766,1,-172
8013232,2760,1,-207
8014268,2755,1,-254
8015284,2751,1,-256
8016308,2747,1,-260
8017348,2743,1,-336
8018356,2740,1,-338
8019372,2737,1,-337
8020384,2734,1,-338
8021400,2731,1,-338
8022416,2728,1,-508
8023432,2726,1,-337
8024444,2723,1,-338
8025460,2720,1,-512
8026484,2718,1,-504
8027492,2716,1,-1004
8028496,2715,1,-1056
8029552,2714,35,-1612
8031164,2713,26,-1504
8032668,2712,10,-1244
8033912,2711,10,-1244
8035156,2710,10,-1248
8036404,2709,34,-1628
8038032,2708,175,-3880
8041912,2707,141,-3380
8045292,2706,59,-2084
8047376,2705,43,-1772
8049148,2704,21,-1420
8050568,2703,1,-1076
8051644,2702,1,-1040
8052684,2701,6397,103216
8155900,2702,73,-2444
8158344,2701,528,9508
8167852,2702,16,-1380
8169232,2701,848,14632
8183864,2702,367,-7024
8190888,2701,126,3144
8194032,2702,472,-8668
8202700,2701,562,10104
8212804,2702,43,-1848
8214652,2701,97,2636
8217288,2702,213,-4464
8221752,2701,1468,24576
8246328,2702,33,-1732
8248060,2701,14443,0
8479800,2702,119,-2916
8482716,2701,106,2832
8485548,2702,48,-1884
