timestamp,position,count,us_per_position
16,0,51409,0
821620,1,1,123
822236,6,1,59
823132,21,1,80
823936,31,1,105
824776,39,1,82
825680,50,1,93
826524,59,1,92
827360,68,1,85
828212,78,1,94
829064,87,1,78
829932,98,1,78
830796,109,1,71
831656,121,1,71
832584,134,1,62
833516,149,1,59
834468,165,1,55
835408,182,1,57
836380,199,1,51
837356,218,1,51
838332,237,1,51
839308,256,1,49
840292,276,1,50
841260,295,1,48
842232,315,1,46
843208,336,1,46
844192,357,1,46
845176,378,1,45
846172,400,1,45
847164,422,1,44
848148,444,1,45
849144,466,1,43
850136,489,1,45
851140,511,1,45
852132,533,1,43
853136,556,1,42
854124,579,1,44
855136,602,1,44
856148,625,1,45
857144,647,1,43
858136,670,1,43
859136,693,1,45
860128,715,1,42
861144,739,1,43
862140,762,1,41
863140,786,1,42
864164,810,1,43
865168,833,1,43
866168,856,1,42
867180,880,1,43
868188,903,1,42
869200,927,1,43
870196,950,1,40
871200,975,1,42
872228,999,1,43
873232,1022,1,41
874236,1046,1,42
875308,1071,1,43
876384,1096,1,41
877456,1122,1,42
878524,1147,1,42
879632,1173,1,42
880704,1198,1,41
881788,1224,1,43
882864,1249,1,42
883936,1274,1,43
885012,1299,1,43
886088,1324,1,41
887168,1350,1,43
888244,1375,1,41
889328,1401,1,44
890392,1425,1,44
891456,1449,1,42
892520,1474,1,49
893564,1495,1,45
894620,1518,1,51
895640,1538,1,51
896676,1558,1,53
897688,1577,1,56
898704,1595,1,62
899704,1611,1,62
900704,1627,1,65
901692,1642,1,74
902664,1655,1,85
903608,1666,1,86
904556,1677,1,87
905520,1688,1,102
906444,1697,1,108
907420,1706,1,120
908384,1714,1,138
909352,1721,1,158
910300,1727,1,160
911260,1733,1,189
912208,1738,1,189
913156,1743,1,237
914104,1747,1,237
915052,1751,1,235
915992,1755,1,309
916920,1758,1,310
917852,1761,1,309
918780,1764,1,313
919720,1767,1,456
920632,1769,1,462
921556,1771,1,314
922500,1774,1,462
923424,1776,1,464
924352,1778,1,314
925296,1781,1,920
926216,1782,1,462
927140,1784,1,920
928060,1785,1,928
928988,1786,8,1032
930020,1787,45,1672
931692,1788,15,1232
932924,1789,34,1548
934472,1790,84,2340
936812,1791,90,2440
939252,1792,116,2852
942104,1793,80,2320
944424,1794,60,1956
946380,1795,29,1460
947840,1796,7,1112
948952,1797,5,1016
949968,1798,18,1240
951208,1799,857,-14692
965900,1798,1,-164
967052,1791,1,-63
968136,1774,1,-63
969152,1758,1,-67
970160,1743,1,-71
971160,1729,1,-82
972148,1717,1,-81
973124,1705,1,-76
974112,1692,1,-81
975092,1680,1,-71
976088,1666,1,-71
977088,1652,1,-66
978092,1637,1,-57
979120,1619,1,-60
980156,1602,1,-55
981212,1583,1,-54
982256,1564,1,-50
983324,1543,1,-52
984380,1523,1,-50
985444,1502,1,-49
986492,1481,1,-48
987564,1459,1,-49
988656,1437,1,-47
989740,1414,1,-47
990824,1391,1,-45
991916,1367,1,-47
993000,1344,1,-45
994088,1320,1,-44
995192,1295,1,-45
996272,1271,1,-43
997368,1246,1,-45
998468,1222,1,-43
999560,1197,1,-43
1000652,1172,1,-43
1001748,1147,1,-42
1002932,1119,1,-43
1004068,1093,1,-43
1005252,1066,1,-43
1006416,1039,1,-43
1007588,1012,1,-43
1008756,985,1,-42
1009932,957,1,-42
1011032,931,1,-43
1012128,906,1,-42
1013232,880,1,-44
1014336,855,1,-42
1015436,829,1,-42
1016548,803,1,-44
1017652,778,1,-41
1018776,751,1,-44
1019876,726,1,-41
1021004,699,1,-42
1022116,673,1,-42
1023232,647,1,-42
1024344,621,1,-41
1025464,594,1,-42
1026568,568,1,-42
1027668,542,1,-43
1028788,516,1,-44
1029888,491,1,-41
1031008,464,1,-42
1032116,438,1,-43
1033236,412,1,-42
1034344,386,1,-43
1035436,361,1,-44
1036536,336,1,-46
1037612,313,1,-47
1038712,290,1,-49
1039796,268,1,-51
1040868,247,1,-50
1041924,226,1,-58
1042976,208,1,-57
1044008,190,1,-64
1045040,174,1,-68
1046060,159,1,-72
1047080,145,1,-77
1048092,132,1,-83
1049088,120,1,-98
1050072,110,1,-98
1051056,100,1,-120
1052020,92,1,-126
1053028,84,1,-134
1053972,77,1,-136
1054928,70,1,-187
1055864,65,1,-157
1056808,59,1,-230
1057728,55,1,-186
1058660,50,1,-305
1059576,47,1,-231
1060500,43,1,-305
1061416,40,1,-305
1062332,37,1,-306
1063252,34,1,-305
1064168,31,1,-305
1065084,28,1,-446
1065976,26,1,-305
1066892,23,1,-454
1067800,21,1,-452
1068704,19,1,-454
1069612,17,1,-458
1070528,15,1,-896
1071424,14,1,-896
1072320,13,1,-896
1073216,12,1,-884
1074100,11,1,-896
1074996,10,33,-1452
1076448,9,55,-1868
1078316,8,243,-4808
1083124,7,216,-4440
1087564,6,84,-2320
1089884,5,28,-1380
1091264,4,9,-1068
1092332,3,8,-1016
1093348,2,7,-988
1094336,1,5,-900
1095236,0,22,-1204
1096440,-1,159,3468
1099908,0,24756,0
1496244,1,1,79
1497200,13,1,63
1498092,27,1,91
1499008,37,1,100
1499912,46,1,82
1500896,58,1,82
1501804,69,1,92
1502728,79,1,84
1503660,90,1,84
1504584,101,1,72
1505520,114,1,71
1506524,128,1,65
1507512,143,1,60
1508540,160,1,59
1509556,177,1,56
1510580,195,1,54
1511620,214,1,52
1512664,234,1,52
1513704,254,1,50
1514756,275,1,50
1515812,296,1,48
1516880,318,1,46
1517944,341,1,48
1519000,363,1,46
1520064,386,1,44
1521140,410,1,46
1522204,433,1,44
1523276,457,1,44
1524344,481,1,45
1525424,505,1,44
1526500,529,1,44
1527572,553,1,43
1528656,578,1,44
1529732,602,1,43
1530816,627,1,44
1531888,651,1,42
1532992,677,1,44
1534064,701,1,43
1535148,726,1,42
1536244,752,1,43
1537328,777,1,43
1538404,802,1,43
1539484,827,1,43
1540568,852,1,41
1541652,878,1,44
1542724,902,1,42
1543816,928,1,43
1544900,953,1,42
1545992,979,1,42
1547084,1005,1,43
1548160,1030,1,42
1549320,1057,1,43
1550456,1083,1,42
1551600,1110,1,42
1552744,1137,1,41
1553900,1165,1,43
1555036,1191,1,40
1556176,1219,1,43
1557340,1246,1,43
1558476,1272,1,41
1559636,1300,1,43
1560772,1326,1,41
1561928,1354,1,42
1563072,1381,1,42
1564208,1408,1,45
1565344,1433,1,43
1566480,1459,1,44
1567596,1484,1,48
1568712,1507,1,48
1569828,1530,1,51
1570916,1551,1,51
1572004,1572,1,56
1573076,1591,1,61
1574128,1608,1,62
1575192,1625,1,65
1576244,1641,1,74
1577288,1655,1,79
1578320,1668,1,92
1579336,1679,1,92
1580348,1690,1,100
1581348,1700,1,115
1582384,1709,1,130
1583424,1717,1,145
1584440,1724,1,170
1585460,1730,1,171
1586488,1736,1,170
1587508,1742,1,248
1588500,1746,1,204
1589524,1751,1,252
1590532,1755,1,330
1591524,1758,1,333
1592524,1761,1,333
1593524,1764,1,333
1594524,1767,1,333
1595524,1770,1,494
1596512,1772,1,333
1597512,1775,1,496
1598504,1777,1,494
1599492,1779,1,332
1600488,1782,1,494
1601476,1784,1,494
1602464,1786,1,980
1603444,1787,2,1012
1604456,1788,67,2100
1606556,1789,252,5072
1611628,1790,218,4608
1616236,1791,62,2104
1618340,1792,18,1344
1619684,1793,3,1092
1620776,1794,2,1048
1621824,1795,1,1012
1622836,1796,1,1024
1623860,1797,17,1308
1625168,1798,123,3032
1628200,1799,52,-1940
1630140,1798,21627,0
1976604,1797,1,-80
1977724,1783,1,-63
1978808,1766,1,-67
1979884,1750,1,-70
1980944,1735,1,-80
1981992,1722,1,-81
1983052,1709,1,-75
1984112,1695,1,-80
1985160,1682,1,-76
1986228,1668,1,-66
1987296,1652,1,-68
1988384,1636,1,-57
1989480,1617,1,-57
1990576,1598,1,-55
1991688,1578,1,-53
1992816,1557,1,-51
1993940,1535,1,-52
1995040,1514,1,-49
1996176,1491,1,-49
1997312,1468,1,-47
1998448,1444,1,-46
1999612,1419,1,-49
2000748,1396,1,-46
2001912,1371,1,-46
2003064,1346,1,-45
2004212,1321,1,-44
