timestamp,position,count,us_enc,enc/us
16,0,144987,10000,0.0001
2379860,1,16,316,0.003164557
2380176,2,1,222,0.004504505
2381064,6,1,231,0.004329004
2381988,10,1,146,0.006849315
2382864,16,1,144,0.006944444
2383728,22,1,120,0.008333333
2384688,30,1,117,0.008547009
2385628,38,1,117,0.008547009
2386568,46,1,105,0.00952381
2387520,55,1,95,0.010526316
2388476,65,1,89,0.011235955
2389456,76,1,77,0.012987013
2390388,88,1,72,0.013888889
2391336,101,1,67,0.014925373
2392280,115,1,62,0.016129032
2393224,130,1,64,0.015625
2394260,146,1,54,0.018518519
2395300,165,1,54,0.018518519
2396336,184,1,54,0.018518519
2397372,203,1,54,0.018518519
2398408,222,1,50,0.02
2399468,243,1,48,0.020833333
2400532,265,1,49,0.020408163
2401580,286,1,48,0.020833333
2402636,308,1,48,0.020833333
2403692,330,1,46,0.02173913
2404756,353,1,47,0.021276596
2405796,375,1,48,0.020833333
2406868,397,1,43,0.023255814
2407952,422,1,44,0.022727273
2409028,446,1,46,0.02173913
2410096,469,1,43,0.023255814
2411180,494,1,44,0.022727273
2412252,518,1,43,0.023255814
2413336,543,1,44,0.022727273
2414412,567,1,43,0.023255814
2415496,592,1,44,0.022727273
2416572,616,1,42,0.023809524
2417672,642,1,43,0.023255814
2418760,667,1,44,0.022727273
2419832,691,1,43,0.023255814
2420916,716,1,43,0.023255814
2421992,741,1,43,0.023255814
2423076,766,1,43,0.023255814
2424164,791,1,43,0.023255814
2425248,816,1,43,0.023255814
2426324,841,1,43,0.023255814
2427408,866,1,41,0.024390244
2428496,892,1,43,0.023255814
2429588,917,1,41,0.024390244
2430676,943,1,42,0.023809524
2431776,969,1,41,0.024390244
2432864,995,1,42,0.023809524
2433968,1021,1,42,0.023809524
2435064,1047,1,42,0.023809524
2436164,1073,1,43,0.023255814
2437300,1099,1,41,0.024390244
2438448,1127,1,42,0.023809524
2439600,1154,1,42,0.023809524
2440740,1181,1,42,0.023809524
2441892,1208,1,42,0.023809524
2443040,1235,1,41,0.024390244
2444196,1263,1,44,0.022727273
2445340,1289,1,41,0.024390244
2446496,1317,1,45,0.022222222
2447624,1342,1,40,0.025
2448768,1370,1,44,0.022727273
2449916,1396,1,43,0.023255814
2451052,1422,1,43,0.023255814
2452188,1448,1,44,0.022727273
2453308,1473,1,47,0.021276596
2454436,1497,1,48,0.020833333
2455544,1520,1,50,0.02
2456648,1542,1,52,0.019230769
2457740,1563,1,54,0.018518519
2458820,1583,1,56,0.017857143
2459892,1602,1,58,0.017241379
2460948,1620,1,70,0.014285714
2462000,1635,1,70,0.014285714
2463060,1650,1,73,0.01369863
2464084,1664,1,85,0.011764706
2465104,1676,1,85,0.011764706
2466128,1688,1,101,0.00990099
2467140,1698,1,111,0.009009009
2468144,1707,1,127,0.007874016
2469164,1715,1,128,0.0078125
2470192,1723,1,146,0.006849315
2471220,1730,1,201,0.004975124
2472228,1735,1,171,0.005847953
2473256,1741,1,252,0.003968254
2474264,1745,1,253,0.003952569
2475276,1749,1,252,0.003968254
2476284,1753,1,253,0.003952569
2477296,1757,1,333,0.003003003
2478296,1760,1,333,0.003003003
2479296,1763,1,333,0.003003003
2480296,1766,1,333,0.003003003
2481296,1769,1,496,0.002016129
2482288,1771,1,333,0.003003003
2483288,1774,1,494,0.002024291
2484276,1776,1,496,0.002016129
2485268,1778,1,490,0.002040816
2486248,1780,1,496,0.002016129
2487240,1782,1,980,0.001020408
2488220,1783,1,988,0.001012146
2489208,1784,1,992,0.001008065
2490200,1785,1,980,0.001020408
2491180,1786,85,2396,0.000417362
2493576,1787,45,1708,0.00058548
2495284,1788,6,1160,0.000862069
2496444,1789,2,1076,0.000929368
2497520,1790,13,1252,0.000798722
2498772,1791,18,1304,0.000766871
2500076,1792,25,1464,0.00068306
2501540,1793,63,2084,0.000479846
2503624,1794,105,2796,0.000357654
2506420,1795,57,1996,0.000501002
2508416,1796,25,1528,0.00065445
2509944,1797,17,1328,0.000753012
2511272,1798,18,1356,0.000737463
2512628,1799,7937,10000,0.0001
2645040,1800,5790,10000,0.0001
2740104,1801,1,404,0.002475248
2741316,1804,1,412,0.002427184
2742552,1807,1,205,0.004878049
2743580,1812,1,252,0.003968254
2744588,1816,1,201,0.004975124
2745596,1821,1,337,0.002967359
2746608,1824,1,333,0.003003003
2747608,1827,1,496,0.002016129
2748600,1829,1,333,0.003003003
2749600,1832,1,333,0.003003003
2750600,1835,1,333,0.003003003
2751600,1838,1,201,0.004975124
2752608,1843,1,149,0.006711409
2753656,1850,1,146,0.006849315
2754684,1857,1,129,0.007751938
2755720,1865,1,127,0.007874016
2756740,1873,1,116,0.00862069
2757784,1882,1,104,0.009615385
2758832,1892,1,104,0.009615385
2759880,1902,1,88,0.011363636
2760944,1914,1,89,0.011235955
2762012,1926,1,85,0.011764706
2763032,1938,1,79,0.012658228
2764068,1951,1,79,0.012658228
2765100,1964,1,74,0.013513514
2766144,1978,1,75,0.013333333
2767196,1992,1,73,0.01369863
2768220,2006,1,79,0.012658228
2769252,2019,1,70,0.014285714
2770316,2034,1,73,0.01369863
2771340,2048,1,74,0.013513514
2772384,2062,1,74,0.013513514
2773428,2076,1,70,0.014285714
2774488,2091,1,70,0.014285714
2775540,2106,1,74,0.013513514
2776584,2120,1,73,0.01369863
2777608,2134,1,70,0.014285714
2778660,2149,1,70,0.014285714
2779712,2164,1,70,0.014285714
2780764,2179,1,70,0.014285714
2781820,2194,1,70,0.014285714
2782872,2209,1,74,0.013513514
2783908,2223,1,70,0.014285714
2784960,2238,1,70,0.014285714
2786016,2253,1,66,0.015151515
2787072,2269,1,75,0.013333333
2788124,2283,1,69,0.014492754
2789172,2298,1,70,0.014285714
2790236,2313,1,69,0.014492754
2791280,2328,1,66,0.015151515
2792348,2344,1,69,0.014492754
2793396,2359,1,66,0.015151515
2794464,2375,1,69,0.014492754
2795508,2390,1,67,0.014925373
2796588,2406,1,74,0.013513514
2797628,2420,1,70,0.014285714
2798684,2435,1,68,0.014705882
2799716,2450,1,69,0.014492754
2800760,2465,1,70,0.014285714
2801820,2480,1,69,0.014492754
2802856,2495,1,70,0.014285714
2803916,2510,1,70,0.014285714
2804968,2525,1,70,0.014285714
2806020,2540,1,69,0.014492754
2807056,2555,1,69,0.014492754
2808100,2570,1,67,0.014925373
2809172,2586,1,73,0.01369863
2810196,2600,1,73,0.01369863
2811228,2614,1,66,0.015151515
2812288,2630,1,69,0.014492754
2813324,2645,1,69,0.014492754
2814364,2660,1,70,0.014285714
2815424,2675,1,69,0.014492754
2816460,2690,1,70,0.014285714
2817524,2705,1,70,0.014285714
2818576,2720,1,73,0.01369863
2819600,2734,1,66,0.015151515
2820660,2750,1,73,0.01369863
2821684,2764,1,70,0.014285714
2822744,2779,1,69,0.014492754
2823784,2794,1,69,0.014492754
